id,subject,prompt,A,B,C,D,E,answer,prompt_ko,A_ko,B_ko,C_ko,D_ko,E_ko
312,us_history,All the following facts support the thesis that the Puritan society in New England was a theocracy EXCEPT:,Only men were allowed to be ministers. ,Only church members were eligible for political office. ,Only church members could vote on political issues. ,Religious dissenters were banished from the colony. ,Moral offenses were considered civil crimes and punished as such.,A,다음의 모든 사실은 뉴잉글랜드의 청교도 사회가 신정주의 사회였다는 논지를 뒷받침하지만 예외가 있습니다:,남성만 목사가 될 수 있었습니다.,교회 회원만 공직을 맡을 수 있었습니다.,교회 회원만 정치적 이슈에 투표할 수 있었습니다.,종교적 반대자들은 식민지에서 추방당했습니다.,도덕적 위반은 민사 범죄로 간주되어 처벌을 받습니다.
313,us_history,Upwards of 100 gallons of spirits were poured not down people's throats but on the sand and I believe there is now none in the place. This statement most likely describes the actions of a,political boss ,temperance advocate ,yellow journalist ,suffragist ,war protester,B,100갤런 이상의 증류주가 사람들의 목구멍이 아닌 모래 위에 쏟아졌고 지금은 그 자리에 아무것도 없다고 생각합니다. 이 진술은 다음과 같은 행동을 설명할 가능성이 높습니다.,정치 보스,절제 옹호자,옐로우 저널리스트,참정권자,전쟁 시위자
314,us_history,"The ""gag rule"" of 1837 prevented which issue from being discussed or debated in the House of Representatives?",Abolition ,Secession ,Reform ,Censorship ,Taxation,A,1837년의 '개그 규칙'으로 인해 하원에서 논의되거나 토론되지 못한 사안은?,폐지,탈퇴,개혁,검열,과세
315,us_history,All the following facts about the Fugitive Slave Act of 1850 inspired many Northerners to take an active role in the fight against slavery EXCEPT,Slaves would carry their slave status with them even when escaping to a free state. ,Thousands of African Americans crossed the border into Canada to avoid being pursued by slave owners. ,Northerners resented being forced to obey the Dred Scott decision without getting something in return. ,Court commissioners would receive more money when they decided a dispute in the slave owner's favor. ,No African American accused of being an escaped slave was permitted to testify in his or her own defense.,C,1850년 도망자 노예법에 대한 다음 사실들은 많은 북부인들이 노예제 반대 투쟁에 적극적으로 참여하도록 영감을 주었지만 다음을 제외하고는 모두 사실입니다.,노예는 자유 국가로 탈출할 때에도 노예의 신분을 그대로 가지고 다녔습니다.,수천 명의 아프리카계 미국인이 노예 소유주의 추적을 피해 국경을 넘어 캐나다로 들어왔습니다.,북부 주민들은 아무런 대가 없이 드레드 스콧의 결정에 복종하도록 강요당하는 것에 분개했습니다.,법원 위원들은 노예 주인에게 유리한 판결을 내리면 더 많은 돈을 받을 수 있었습니다.,탈출한 노예로 기소된 아프리카계 미국인은 자신을 변호하는 증언을 할 수 없었습니다.
316,us_history,The Five Civilized Tribes forcibly ejected from the Southeast under the Indian Removal Act included all the following EXCEPT:,Choctaw ,Creek ,Seminole ,Cherokee ,Osage,E,인디언 추방법에 따라 남동부에서 강제로 추방된 5개 문명 부족에는 다음을 제외한 모든 부족이 포함되었습니다:,Choctaw,Creek,세미놀,체로키,오세이지
317,us_history,Malcolm X championed African-American sepa ratism and the use of violence in self-defense in a movement known as,pan-Africanism ,black nationalism ,civil rights ,black pantheism ,back to Africa,B,말콤 엑스는 다음과 같은 운동에서 아프리카계 미국인 인종차별주의와 자기방어를 위한 폭력 사용을 옹호했습니다.,범아프리카주의,흑인 민족주의,시민권,흑인 범신론,아프리카로 돌아가기
318,us_history,What was the main purpose of the naval blockade of the South during the Civil War?,To capture the capital city of the Confederacy ,To force Jefferson Davis to emancipate all Southern slaves ,To prevent shiploads of imported goods and supplies from reaching the people of the South ,To prevent the Confederate Army from using the Mississippi River to travel north ,To take control of the railroad system,C,남북전쟁 당시 남부에 대한 해군 봉쇄의 주요 목적은 무엇이었나요?,남부 연합의 수도를 점령하려면,제퍼슨 데이비스가 모든 남부 노예를 해방시키기 위해,수입 물품과 물품이 남한 주민들에게 전달되는 것을 막기 위해,남부군이 미시시피 강을 이용해 북쪽으로 이동하는 것을 막기 위해,철도 시스템을 제어하려면
319,us_history,The Haymarket Riot of 1886 had all the following effects EXCEPT:,"Eight anarchists were arrested for conspiracy, and four of them were hanged. ",Activism among workers decreased. ,Employers blacklisted people with reputations for organizing their fellow workers. ,Skilled and unskilled workers broke apart into two groups. ,Union membership immediately skyrocketed in protest.,E,1886년의 헤이마켓 폭동은 다음과 같은 영향을 미쳤습니다:,8명의 아나키스트가 음모 혐의로 체포되었고 그 중 4명이 교수형에 처해졌습니다.,직원들의 활동성이 감소했습니다.,고용주는 동료 근로자를 조직적으로 괴롭힌다는 평판이 있는 사람들을 블랙리스트에 올렸습니다.,숙련된 근로자와 비숙련 근로자는 두 그룹으로 나뉘었습니다.,이에 항의하는 노조원 수가 즉시 급증했습니다.
320,us_history,All the following are classic novels of U.S. partici pation in war EXCEPT:,One of Ours by Willa Cather ,The Red Badge of Courage by Stephen Crane ,Slaughterhouse-Five by Kurt Vonnegut ,A Farewell to Arms by Ernest Hemingway ,Hiroshimaby John Hersey,E,다음은 모두 미국의 전쟁 참여에 관한 고전 소설입니다:,윌라 캐더의 우리 중 하나,스티븐 크레인의 용기의 붉은 배지,커트 보네거트의 슬러터하우스-파이브,어니스트 헤밍웨이의 무기여 잘 있거라,히로시마비 존 허시
321,us_history,"After being hunted like a dog through swamps, woods . . . till I was forced to return wet, cold, and starving, with every man's hand against me, I am here in despair. And why? For doing what Brutus was honored for.... This diary entry most likely was written by which of the following?",John Wilkes Booth ,Nathan Hale ,Benedict Arnold ,Robert E. Lee ,Frederick Douglass,A,늪과 숲을 개처럼 쫓아다니며 비에 젖고 추위에 떨며 굶주린 채로 돌아와야만 했던 저는 절망에 빠져 있습니다. 그리고 왜? 브루투스가 영광을 누렸던 일을 했기 때문입니다.... 이 일기 항목은 다음 중 누가 썼을 가능성이 가장 높습니까?,존 윌크스 부스,네이선 헤일,베네딕트 아놀드,로버트 E. 리,프레드릭 더글라스
322,us_history,President John F. Kennedy did all the following to oppose the spread of communism in the world EXCEPT:,establish the Peace Corps ,establish the Alliance for Progress ,continue the buildup of nuclear arms begun under Eisenhower ,work with the cabinet on a plan to invade the Soviet Union ,create the Green Berets,D,존 F. 케네디 대통령은 전 세계 공산주의 확산에 반대하기 위해 다음과 같은 조치를 취했습니다:,평화 봉사단 설립,진보를 위한 얼라이언스 설립,아이젠하워 치하에서 시작된 핵무기 증강을 계속합니다.,소련 침공 계획을 위해 내각과 협력합니다.,녹색 베레모 만들기
323,us_history,Which advantage did the Confederacy have over the Union at the beginning of the Civil War?,Control over the majority of U.S. industry and material resources ,A larger population and thus larger pool of available soldiers ,The location of major national railroads in Confederate states ,"Assurance of support, supplies, and troops from France and Great Britain ","Superior, more experienced military leaders",E,남북전쟁 초기에 남부 동맹이 연방에 비해 유리했던 것은 무엇인가요?,미국 산업 및 물적 자원의 대부분을 통제합니다.,인구가 많을수록 가용 병사 풀이 넓어집니다.,남부 동맹국의 주요 국영 철도 위치,"프랑스와 영국으로부터의 지원, 보급품 및 병력 보장",경험이 풍부한 우수한 군 리더
324,us_history,The Freedmen's Bureau accomplished all the following EXCEPT:,Founded African-American schools through out the South ,Supervised polling places so that African Americans were ensured of the right to vote ,Helped establish African-American colleges ,Settled contract disputes between planters and African-American wage laborers ,"Provided food, clothing, and medical care to Southerners made destitute by the Civil War",B,자유민단은 다음을 제외한 모든 업적을 달성했습니다:,남부 전역에 아프리카계 미국인 학교 설립,아프리카계 미국인의 투표권 보장을 위한 투표소 관리 감독,아프리카계 미국인 대학 설립 지원,농장주와 아프리카계 미국인 임금 노동자 간의 계약 분쟁 해결,"남북전쟁으로 빈곤해진 남부 주민들에게 식량, 의복, 의료 서비스를 제공했습니다."
325,us_history,All the following happened as a direct result of the Boston Massacre EXCEPT:,Samuel Adams demanded that all British troops immediately leave Boston. ,John Adams agreed to defend the British soldiers arrested after the riot. ,Paul Revere distributed an engraving of the riot that was circulated throughout the colonies. ,Thomas Hutchinson disbanded the Massachusetts legislature. ,John Hancock commissioned a portrait of Samuel Adams that was used for propaganda purposes.,D,보스턴 대학살의 직접적인 결과로 일어난 일은 다음과 같습니다:,사무엘 애덤스는 모든 영국군이 즉시 보스턴을 떠날 것을 요구했습니다.,존 애덤스는 폭동 이후 체포된 영국 군인들을 변호하기로 동의했습니다.,폴 리비어는 폭동을 그린 판화 작품을 식민지 전역에 배포했습니다.,토마스 허친슨은 매사추세츠 주 의회를 해산했습니다.,존 핸콕은 새뮤얼 애덤스의 초상화를 의뢰하여 선전용으로 사용했습니다.
326,us_history,"It had been, to say the least, an interesting and chal lenging situation. The two most powerful nations of the world had squared off against each other, each with its finger on the button. The speaker of the above quotation probably is referring to which of the following?",The Battle of Gettysburg ,The Gulf of Tonkin affair ,The Cuban missile crisis ,The Congress of Versailles ,The fall of Saigon,C,한마디로 흥미진진하고 긴박한 상황이었죠. 세계에서 가장 강력한 두 국가가 서로 버튼을 누른 채 대치하고 있었습니다. 위 인용문의 화자는 다음 중 어느 것을 언급하고 있을까요?,게티스버그 전투,통킹만 사건,쿠바 미사일 위기,베르사유 회의,사이공의 몰락
327,us_history,A historian researching the immediate effects of the Intolerable Acts on the American colonies probably would find the most accurate information in a diary written by which of the following?,Patrick Henry ,Benjamin Franklin ,Abigail Adams ,John Paul Jones ,John Dickinson,C,참을 수 없는 행위가 미국 식민지에 미친 즉각적인 영향을 연구하는 역사가라면 다음 중 어느 사람이 쓴 일기에서 가장 정확한 정보를 찾을 수 있을까요?,패트릭 헨리,벤자민 프랭클린,아비게일 아담스,존 폴 존스,존 디킨슨
328,us_history,Which of the following major U.S. enterprises enjoyed an exemption from antitrust legislation?,Standard Oil of Ohio ,Bethlehem Steel ,Microsoft ,Major league baseball ,Pennsylvania Railroad,D,다음 중 독점 금지법의 면제를 받은 미국의 주요 기업은 어느 것인가요?,오하이오 주 스탠다드 오일,베들레헴 스틸,Microsoft,메이저리그 야구,펜실베니아 철도
329,us_history,Which of the following led Congress to reduce immigration quotas in 1921 and again in 1924?,Racism ,Nationalism ,Nativism ,Communism ,Fascism,D,다음 중 1921년과 1924년에 의회가 이민 쿼터를 줄이도록 이끈 것은?,인종 차별,민족주의,네이티브주의,공산주의,파시즘
330,us_history,"This man, although he many not actually have com mitted the crime attributed to him, is nevertheless morally culpable, because he is an enemy of our existing institutions. Which of the following was sent to his death by the judge who spoke these words at his trial?",Julius Rosenberg ,Bartolomeo Vanzetti ,Charles Guiteau ,Edward Slovik ,Lee Harvey Oswald,B,"이 남자는 비록 그가 실제로 범죄를 저지른 것은 아니지만, 그럼에도 불구하고 기존 제도의 적이기 때문에 도덕적으로 유죄입니다. 다음 중 그의 재판에서 이 말을 한 판사가 그를 사형에 처한 것은?",줄리어스 로젠버그,바르톨로메오 반제티,찰스 기토,에드워드 슬로빅,리 하비 오스왈드
331,us_history,Which is the correct chronological sequence of these three Revolutionary War battles?,"Brandywine, Brooklyn, Trenton ","Brooklyn, Trenton, Brandywine ","Trenton, Brandywine, Brooklyn ","Brandywine, Trenton, Brooklyn ","Brooklyn, Brandywine, Trenton",B,이 세 가지 독립전쟁 전투의 올바른 시간 순서는 어느 것입니까?,"브랜디와인, 브루클린, 트렌턴","브루클린, 트렌튼, 브랜디와인","트렌튼, 브랜디와인, 브루클린","브랜디와인, 트렌튼, 브루클린","브루클린, 브랜디와인, 트렌튼"
333,us_history,All the following reforms were enacted during the presidency of Woodrow Wilson EXCEPT:,the Clayton Antitrust Act ,the Federal Reserve Act ,the Nineteenth Amendment giving women the right to vote ,"the Twentieth Amendment shortening the ""lame duck"" period ",the Keating-Owens Child Labor Act,D,다음의 모든 개혁은 우드로 윌슨 대통령 재임 기간에 제정된 것들입니다:,클레이튼 반독점법,연방 준비 은행법,여성에게 투표권을 부여한 수정헌법 제19조,수정헌법 제20조는 '레임덕' 기간을 단축시켰습니다.,키팅-오웬스 아동 노동법
334,us_history,By what name were the Intolerable Acts of 1774 known in Great Britain?,Townshend Acts ,Stamp Acts ,Coercive Acts ,Boston Port Acts ,Retaliatory Acts,C,1774년의 참을 수 없는 행위는 영국에서 어떤 이름으로 알려졌나요?,타운센드법,스탬프 행위,강압적 행위,보스턴 항만법,보복 행위
335,us_history,All the following were aspects of the Union's military strategy to win the Civil War EXCEPT:,preventing the Confederacy from using the Mississippi River to travel north or receive supplies in trade ,"capturing the Confederate capital city of Richmond, Virginia ",blockading Southern ports to prevent exporta tion and importation of goods ,controlling the railroad system ,establishing a military alliance with Great Britain and France,E,남북전쟁에서 승리하기 위한 연방의 군사 전략은 다음 사항을 제외하고는 모두 다음과 같습니다:,남부 동맹이 미시시피 강을 이용해 북쪽으로 이동하거나 무역 물자를 받는 것을 막았습니다.,남부 연합의 수도인 버지니아주 리치몬드 점령하기,남부 항구를 봉쇄하여 수출입을 막는 것,철도 시스템 제어,영국 및 프랑스와 군사 동맹을 맺음
336,us_history,Which would be the best source material for a histo rian who wanted to write a biography of John Quincy Adams?,"Adams's personal papers, such as diaries and correspondence ",Acts of Congress passed during Adams's years in the White House and Senate ,Newspaper articles written about Adams during his lifetime ,Other historians' biographies of Adams ,The script of a television miniseries about several generations of the Adams family,A,존 퀸시 아담스의 전기를 쓰고자 하는 역사학자에게 가장 적합한 자료는 무엇일까요?,"일기, 서신 등 Adams의 개인 문서",아담스가 백악관과 상원에서 활동하는 동안 통과된 의회 법안,생전에 아담스에 대해 쓰인 신문 기사,아담스에 대한 다른 역사가들의 전기,여러 세대에 걸친 아담스 가문에 대한 텔레비전 미니시리즈 대본
337,us_history,Millions of people whose parents or grandparents had never dreamed of going to college saw that they could go....  Essentially I think it made us a far more democratic people. To which of the following does the above quotation refer?,The GI Bill of Rights ,The desegregation of the public schools ,The Fair Employment Practices Committee ,The National Defense Education Act ,The Internal Security Act,A,부모님이나 조부모님이 대학 진학을 꿈꿔본 적 없는 수백만 명의 사람들이 대학에 갈 수 있다는 것을 알게 되었습니다....  본질적으로 저는 그것이 우리를 훨씬 더 민주적인 국민으로 만들었다고 생각합니다. 위의 인용문은 다음 중 어느 것을 가리키는가?,GI 권리장전,공립학교의 분리,공정 고용 관행 위원회,국방 교육법,내부 보안법
338,us_history,Why did neither John Adams nor Thomas Jefferson take part in the Constitutional Convention of 1787?,Neither was willing to approve of a design for government that had no bill of rights. ,Both had died by the time the Convention was called. ,Both were representing the United States on diplomatic missions in Europe. ,"Both stayed away to protest the excision from the Declaration of Independence of the passage criticizing slavery as a ""cruel war against human nature."" ",Neither was nominated to attend the Convention by the people of his state.,C,존 애덤스와 토머스 제퍼슨은 왜 1787년 제헌 회의에 참여하지 않았나요?,어느 쪽도 권리장전이 없는 정부를 위한 디자인을 기꺼이 승인하지 않았습니다.,대회가 소집될 무렵에는 두 사람 모두 사망했습니다.,두 사람 모두 유럽 주재 외교 공관에서 미국을 대표하고 있었습니다.,"두 사람 모두 독립선언서에서 노예제도를 ""인간 본성에 대한 잔인한 전쟁""이라고 비판하는 구절이 삭제된 데 항의하기 위해 자리를 비웠습니다.",두 사람 모두 자신의 주 주민들로부터 대회 참석자로 지명받지 못했습니다.
339,us_history,Who was the first African-American to publish a book?,Phillis Wheatley ,Olaudah Equiano ,Frederick Douglass ,Crispus Attucks ,Venture Smith,A,책을 출판한 최초의 아프리카계 미국인은 누구인가요?,필리스 휘틀리,올라다 에퀴아노,프레드릭 더글라스,크리스퍼스 어턱스,벤처 스미스
340,us_history,Which of the following wrote a multivolume auto biography describing the pioneer experience in the Midwest in the 1870s and 1880s?,Maya Angelou ,Laura Ingalls Wilder ,Willa Cather ,Joseph Conrad ,Stephen Crane,B,다음 중 1870년대와 1880년대 중서부 지역의 개척자 경험을 묘사한 여러 권의 자동차 전기를 쓴 사람은 누구입니까?,마야 안젤루,로라 잉걸스 와일더,윌라 캐더,조셉 콘래드,스티븐 크레인
342,us_history,The 1870s and 1880s saw a flood of European immi gration to the American West for all the following reasons EXCEPT:,work for wages building the railroads ,escape from enforced military service at home ,the chance to own land given away by the government ,the search for economic opportunity ,the ease of getting rich quickly without effort,E,1870년대와 1880년대에는 다음과 같은 이유를 제외하고는 모두 유럽 이민자들이 미국 서부로 몰려들었습니다:,철도 건설을 위한 임금 노동,가정에서의 강제 병역 면제,정부가 제공한 토지를 소유할 수 있는 기회,경제적 기회 찾기,노력 없이도 빠르게 부자가 될 수 있는 간편함
343,us_history,During the Revolutionary War the U.S. Army had help from allies from all the following nations EXCEPT:,France ,Poland ,Germany ,Spain ,Italy,E,독립전쟁 중 미군은 다음 국가를 제외한 모든 동맹국으로부터 도움을 받았습니다:,프랑스,폴란드,독일,스페인,이탈리아
344,us_history,"The thin disguise of 'equal' accommodations for passengers in railroad coaches will not mislead anyone, nor atone for the wrong this day done. Justice John Harlan wrote the dissenting opinion quoted above at the conclusion of which Supreme Court case?",Dred Scott v. Sanford ,Plessy v. Ferguson ,Powell v. Alabama ,Sweatt v. Painter ,Brown v. Board of Education,B,"철도 객차 승객을 위한 '평등한' 편의시설이라는 얄팍한 위장은 누구도 오도하지 않을 것이며, 이 날의 잘못을 속죄하지도 않을 것입니다. 위에 인용된 반대의견을 쓴 존 할란 판사는 다음 중 어느 대법원 판례의 결론에 썼습니까?",드레드 스콧 대 샌포드,플레시 대 퍼거슨,파월 대 앨라배마,스웨트 대 페인터,브라운 대 교육위원회
345,us_history,Which of the following is NOT a nonfiction book of the 1950s warning people in the United States to pay attention to pressing issues confronting postwar society?,The Affluent Society by John Kenneth Galbraith ,The Lonely Crowd by David Riesman ,The Organization Manby William Whyte ,White Collarby C. Wright Mills ,How to Succeed in Business without Really Trying by Frank Loesser,E,다음 중 1950년대 미국 사람들에게 전후 사회가 직면한 긴급한 문제에 주의를 기울일 것을 경고한 논픽션 책이 아닌 것은?,존 케네스 갤브레이스의 풍요로운 사회,데이비드 리스먼의 외로운 군중,조직 맨비 윌리엄 와이트,화이트 칼라비 C. 라이트 밀스,노력하지 않고도 비즈니스에서 성공하는 방법 작성자: Frank Loesser
346,us_history,What did the Gulf of Tonkin Resolution state?,The United States would take military action in response to a supposed Vietnamese attack on a U.S. destroyer. ,Vietnam would be divided politically along the 17th parallel. ,The United States would play an active role in an attempt to overthrow the government of Ngo Dinh Diem. ,The Selective Service would begin drafting men in the United States to fight in Vietnam. ,The U.S. Army would launch a bombing cam paign against military targets in North Vietnam.,A,통킹만 결의안에는 어떤 내용이 담겨 있나요?,미국은 미국 구축함에 대한 베트남의 공격에 대응하여 군사 조치를 취할 것입니다.,베트남은 17도선을 따라 정치적으로 분단될 것입니다.,미국은 응오 딘 디엠 정부를 전복하려는 시도에서 적극적인 역할을 할 것입니다.,선택적 징병제는 미국에서 베트남전에 참전할 남성들을 징집하기 시작했습니다.,미군은 북베트남의 군사 목표물에 대한 폭격 캠 캠페인을 시작했습니다.
347,us_history,"Stop them pictures. I don't care so much what the papers write about me. My constituents can't read. But they can see pictures. Which of the following was William Marcy ""Boss"" Tweed complaining about in this statement?",Motion pictures ,Newspaper photographs ,Political cartoons ,Graffiti in public places ,Billboard advertisements,C,"사진 찍지 마세요. 신문에 저에 대해 뭐라고 쓰든 상관없어요. 제 유권자들은 글을 읽을 수 없으니까요. 하지만 사진은 볼 수 있습니다. 다음 중 윌리엄 마시 ""보스"" 트위드가 이 성명에서 불평하고 있는 것은 무엇인가요?",영화,신문 사진,정치 만화,공공장소에서의 낙서,빌보드 광고
348,us_history,All the following were key Southern victories in the Civil War EXCEPT the Battle of,Chickamauga ,Chancellorsville ,Fredericksburg ,Manassas ,Antietam,E,다음 전투를 제외한 남북전쟁에서 남부가 거둔 주요 승리는 모두 다음과 같습니다.,치카무가,챈슬러스빌,프레데릭스버그,마나사스,안티에탐
350,us_history,Which constitutional amendment represented the ultimate goal of the temperance movement?,"Sixteenth, creating the income tax ","Seventeenth, permitting direct popular election of senators ","Eighteenth, banning the manufacture, sale, or transport of alcoholic beverages ","Nineteenth, granting women the right to vote ","Twentieth, changing the first date of a new president's term and setting rules for succession to the presidency",C,절제 운동의 궁극적인 목표를 대표하는 헌법 개정안은 무엇인가요?,"열여섯째, 소득세 생성","열일곱째, 상원의원의 국민 직접 선거 허용","열여덟째, 주류의 제조, 판매 또는 운송 금지","열아홉 번째, 여성에게 투표권 부여","20번째, 새 회장 임기 시작일 변경 및 회장직 승계 규칙 설정"
351,us_history,"In which Supreme Court case did the Court rule against the plaintiff on the grounds that African Americans were ""beings of an inferior order"" who did not qualify as U.S. citizens?",Brown v. Board of Education ,Shaw v. Reno ,Dred Scott v. Sanford ,Wisconsin v. Mitchell ,Marbury v. Madison,C,"다음 중 법원이 아프리카계 미국인이 미국 시민 자격이 없는 ""열등한 질서의 존재""라는 이유로 원고에게 불리한 판결을 내린 대법원 판례는 어느 것입니까?",브라운 대 교육위원회,쇼 대 리노,드레드 스콧 대 샌포드,위스콘신 대 미첼,마버리 대 매디슨
352,us_history,A government program introduced under President John F. Kennedy that sends U.S. volunteers to work in developing countries for two years is called,Vista ,the Peace Corps ,Affirmative Action ,the Foreign Service ,National Service,B,존 F. 케네디 대통령 시절에 도입된 미국 자원봉사자를 개발도상국에 2년 동안 파견하는 정부 프로그램은 다음과 같이 불립니다.,보기,평화 봉사단,차별 금지 조치,해외 서비스,국가 서비스
353,us_history,Which of the following territories was NOT part of Spain's colonial explorations in the 1500s?,California ,Arizona ,Texas ,Florida ,Delaware,E,다음 중 1500년대에 스페인의 식민지 탐험의 일부가 아니었던 영토는?,캘리포니아,Arizona,텍사스,Florida,델라웨어
354,us_history,The Twenty-First Amendment to the Constitution is unique among the amendments because it,repeals another amendment ,was passed when Congress was in recess ,deals with the banking system ,was voted on by women ,deals with foreign policy,A,제21차 헌법 개정안은 다음과 같은 이유로 개정안 중에서 독특합니다.,다른 개정안을 폐지합니다.,의회가 휴회 중일 때 통과되었습니다.,은행 시스템과 거래,는 여성들의 투표로,외교 정책을 다루고 있습니다.
355,us_history,The Virginia Statute of Religious Freedom of 1779 stated that,government control over religious beliefs or worship was tyrannical ,the Episcopal Church was the state church of Virginia ,Protestants were free to pray at public governmental functions ,British subjects could worship with Americans ,Christians were finally free to express their religious beliefs in public,A,1779년 버지니아 종교 자유 법령에 따르면 다음과 같이 명시되어 있습니다.,종교적 신념이나 예배에 대한 정부의 통제는 폭압적이었습니다.,성공회는 버지니아의 주립 교회였습니다.,개신교도들은 정부의 공공 행사에서 자유롭게 기도할 수 있었습니다.,영국인들도 미국인들과 함께 예배를 드릴 수 있습니다.,기독교인들은 마침내 공공장소에서 종교적 신념을 자유롭게 표현할 수 있게 되었습니다.
356,us_history,Matthew Brady is known for,being a losing presidential candidate in 1896 ,leading the abolitionist movement in Ohio ,"quoting in a sermon to his congregation, ""Go West, young man!"" ",writing dime novels about gunfighters ,photographing the dead lying on Civil War battlefields,E,매튜 브래디는 다음과 같이 유명합니다.,1896년 패배한 대통령 후보가 되어서,오하이오에서 노예제 폐지 운동을 이끌고 있습니다.,"""젊은이여, 서쪽으로 가라!""라는 설교를 신도들에게 인용했습니다.",총잡이에 관한 동전 소설 쓰기,남북전쟁 전장에 누워있는 전사자 사진 찍기
357,us_history,"Which of the following measures taken by President Franklin D. Roosevelt's administration brought aid to a rural area plagued by flooding, malnutrition, and poverty?",National Recovery Act ,Works Progress Administration ,Tennessee Valley Authority ,Public Works Administration ,Federal Deposit Insurance Corporation,C,"다음 중 프랭클린 D. 루즈벨트 대통령이 홍수, 영양실조, 빈곤에 시달리는 농촌 지역에 원조를 제공하기 위해 취한 조치는?",국가 복구법,작업 진행 관리,테네시 밸리 당국,공공 사업 관리,연방 예금 보험 공사
358,us_history,The Treaty of Ghent was signed in which country?,Belgium ,Scotland ,Prussia ,Austria ,United States,A,겐트 조약은 어느 나라에서 체결되었나요?,벨기에,스코틀랜드,프러시아,오스트리아,미국
359,us_history,The House Un-American Activities Committee inves tigated which of the following during the 1950s?,Feminist groups ,Asian Americans ,The Ku Klux Klan ,Suspected communists ,Beatniks,D,하원 반미 활동 위원회는 1950년대에 다음 중 어느 것을 조사했습니까?,페미니스트 그룹,아시아계 미국인,쿠 클럭 클랜,공산주의자로 의심되는 사람,비트닉
360,us_history,The Constitutional Convention of 1787 met with the goal of strengthening and improving the,Declaration of Independence ,Federalist Papers ,Articles of Confederation ,Virginia Plan ,Albany Plan of Union,C,1787년 제헌 대회는 다음과 같은 목표를 달성하기 위해,독립 선언문,연방주의자 논문,연맹 규약,버지니아 플랜,알바니 연합 계획
361,us_history,The Spanish-American War was fought in,Spain and Portugal ,Mexico and Texas ,Venezuela and Hawaii ,California and Mexico ,the Philippines and Cuba,E,스페인-미국 전쟁은 다음에서 벌어졌습니다.,스페인 및 포르투갈,멕시코 및 텍사스,베네수엘라 및 하와이,캘리포니아 및 멕시코,필리핀과 쿠바
362,us_history,Third-party presidential candidate Ross Perot entered the 1992 presidential race as,a former governor of Texas ,the leader of the Consumer Party in the United States ,the president of Southern Methodist University ,a billionaire businessman from Texas ,a radio talk-show host from St. Louis,D,제 3당 대통령 후보 로스 페로 1992년 대통령 선거에 다음과 같이 출마했습니다.,전 텍사스 주지사,미국 소비자 당의 지도자,남감리교 대학교 총장,텍사스 출신의 억만장자 사업가,세인트루이스 출신의 라디오 토크쇼 진행자
363,us_history,Which of the following represents an attempt by the Hoover administration to combat the effects of the Great Depression?,The McNary-Haugen Farm Relief Bill ,The coining of silver ,The lowering of interest rates ,The encouragement of margin buying on Wall Street ,The public-works construction of the Boulder Dam,E,다음 중 대공황의 영향에 대처하기 위한 후버 행정부의 시도를 나타내는 것은?,맥나리-하우젠 농장 구호 법안,은의 주조,금리 인하,월스트리트의 마진 매수 장려,볼더 댐의 공공 사업 건설
364,us_history,"President Abraham Lincoln was assassinated by John Wilkes Booth, a member of a American family that was prominent in the field of",firearms ,cotton production ,politics ,rum trade ,theater,E,에이브러햄 링컨 대통령은 미국의 저명한 가문 출신인 존 윌크스 부스에게 암살당했습니다.,총기류,면 생산,정치,럼 거래,극장
365,us_history,George Washington chose Christmas night to cross the icy Delaware River and capture Trenton because,he surmised that the Hessians guarding Trenton would not be prepared for an attack on Christmas morning ,it was the only night his staff officers would agree to attack ,the period for which his troops had enlisted would be over the next morning ,his wife had a dream that he would win a battle before the end of the year ,he was not religious and did not observe Christmas,A,조지 워싱턴이 크리스마스 밤을 선택하여 얼어붙은 델라웨어 강을 건너 트렌턴을 점령한 이유는 다음과 같습니다.,그는 트렌튼을 지키는 헤시아인들이 크리스마스 아침에 공격에 대비하지 않을 것이라고 추측했습니다.,그의 참모들이 공격에 동의한 유일한 밤이었습니다.,그의 군대가 입대했던 기간은 다음날 아침에 끝날 것입니다.,그의 아내는 올해가 끝나기 전에 전투에서 승리하는 꿈을 꾸었습니다.,그는 종교가 없었고 크리스마스를 지키지 않았습니다.
366,us_history,"Early explorers such as Columbus, Verrazano, and John Cabot hailed from Italy but sailed under the sponsorship of another European nation. Which of the following best explains this inconsistency?",The explorers were wanted for piracy in Italy. ,The Italian city-states were the poorest in Europe and could not afford to outfit ships. ,The Italian city-states had no interest in estab lishing colonies in the New World. ,The explorers refused to ask for or accept Italian sponsorship on religious grounds. ,All European powers cooperated in exploration of the New World.,C,"콜럼버스, 베라자노, 존 캐봇과 같은 초기 탐험가들은 이탈리아 출신이지만 다른 유럽 국가의 후원을 받아 항해했습니다. 다음 중 이러한 모순을 가장 잘 설명하는 것은 무엇인가요?",탐험가들은 이탈리아에서 해적 행위로 수배 중이었습니다.,이탈리아 도시 국가들은 유럽에서 가장 가난했기 때문에 배에 장비를 갖출 여력이 없었습니다.,이탈리아 도시 국가들은 신대륙에 식민지를 세우는 데 관심이 없었습니다.,탐험가들은 종교적 이유로 이탈리아의 후원을 요청하거나 받아들이기를 거부했습니다.,모든 유럽 열강이 신대륙 탐험에 협력했습니다.
